held_clone_index,bath_order,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,59.0,pp,-0.006613879773061996,0.04467510085477087,1.047255138139422,0.0
1.0,40.0,60.0,uu,0.22094424256781156,0.19064333465452574,0.9983655613355803,0.0
1.0,40.0,60.0,up,0.00534405495358069,-0.017287703762955225,0.046964893486381026,0.0
1.0,40.0,60.0,pu,-0.004951170194791063,0.001523009957022963,0.046964893486381026,0.0
1.0,40.0,60.0,pp,-0.006898431968707797,0.04424822294062355,1.0394159492871193,0.0
1.0,40.0,61.0,uu,0.22016397685160302,0.19052772068208523,1.0186654386773757,0.0
1.0,40.0,61.0,up,0.004156474241548285,-0.009905467394251246,0.06182939016237322,0.0
1.0,40.0,61.0,pu,-0.0036345025559502476,-0.0023274462986948964,0.06182939016237322,0.0
1.0,40.0,61.0,pp,-0.006588582145470661,0.03950415765830731,1.0127551331424016,0.0
1.0,40.0,62.0,uu,0.21960591968725304,0.18941562694537217,1.0397543692944262,0.0
1.0,40.0,62.0,up,0.0030791132853916423,-0.003574246777216351,0.054048464310126526,0.0
1.0,40.0,62.0,pu,-0.0024218466633102857,-0.01030744575091579,0.054048464310126526,0.0
1.0,40.0,62.0,pp,-0.005765010235259248,0.02860044313976801,0.9925158341641701,0.0
1.0,40.0,63.0,uu,0.2192451243392171,0.18700974085828379,1.0562328232087577,0.0
1.0,40.0,63.0,up,0.0021639079247867087,0.0005940739609563511,0.03792388901317668,0.0
1.0,40.0,63.0,pu,-0.0013893865674189712,-0.015229473719200266,0.03792388901317668,0.0
1.0,40.0,63.0,pp,-0.004680867540330418,0.01816786563226514,0.9773303778826037,0.0
1.0,40.0,64.0,uu,0.21904477812790477,0.18340967426075142,1.065343936311204,0.0
1.0,40.0,64.0,up,0.0014606125412465198,0.002806282739786863,0.013302338570063948,0.0
1.0,40.0,64.0,pu,-0.0005750472311378368,-0.025694565234035398,0.013302338570063948,0.0
1.0,40.0,64.0,pp,-0.003490335143942592,0.011106765442531499,0.9794581192891036,0.0
1.0,40.0,65.0,uu,0.21896529011856472,0.17855129798823,1.0664073228930564,0.0
1.0,40.0,65.0,up,0.0009494764964510612,0.004011178500581736,-0.0025182044829325785,0.0
1.0,40.0,65.0,pu,4.487089369777645e-06,-0.026279725228195952,-0.0025182044829325785,0.0
1.0,40.0,65.0,pp,-0.0024083977326415933,0.0024326141654878973,0.9879092714475093,0.0
1.0,40.0,66.0,uu,0.2189704321728564,0.1740700122613641,1.0627962728499079,0.0
